paper,figure_no,page,caption,type,recoverability,mode
2023,22,17,未来七日六品类推荐售价热图,热力图,策略明细表可恢复售价矩阵,source_or_template
2023,23,17,未来七日六品类预计收益环状热图,环状热力图,可由需求售价成本和损耗公式重算；DOCX图片本身无数据,source_or_template
2023,24,19,花叶类加成率需求收益响应曲面,三维响应曲面,目标函数和参数可由正文及参数表恢复,source_or_template
2023,25,21,7月1日单品优化方案综合诊断,多面板综合图,优化结果表可恢复大部分数据；散点明细需单品级求解结果,source_or_template
2023,26,23,商超补货与定价所需补充数据体系,信息体系图,无需数值数据；分类和用途可由正文完整恢复,source_or_template
2024,1,2,问题分析与求解流程图,流程图,无需数值数据；节点和关系可由正文完整恢复,source_or_template
2024,2,3,总体建模路线与四问信息传递图,体系架构图,无需数值数据；节点和反馈关系可由正文完整恢复,source_or_template
2024,3,4,题目参数结构与统一成本口径示意图,参数关系示意图,参数和成本关系可由正文完整恢复,source_or_template
2024,4,5,问题一抽样检测算法流程图,算法流程图,判定步骤可由正文及公式完整恢复,source_or_template
2024,5,6,接收域继续抽样域与拒收域原理示意图,判定区域示意图,正文给出示例阈值；可由Beta分位数公式重算,source_or_template
2024,6,6,样本量与判定阈值变化图,阈值曲线图,可由精确Beta分位数公式逐点重算,source_or_template
2024,7,7,抽样方案操作特性曲线,OC曲线,可由二项分布与抽样方案参数重算,source_or_template
2024,8,8,固定抽样与序贯抽样检测效率对比图,效率比较图,可由正文方案参数和蒙特卡洛模拟重算,source_or_template
2024,9,9,序贯检验上下判定边界图,序贯边界图,可由SPRT边界公式和参数精确重算,source_or_template
2024,10,10,问题二联合决策求解流程图,流程图,无需数值数据；枚举和状态求解步骤可由正文恢复,source_or_template
2024,11,10,两零配件成品装配结构示意图,装配网络示意图,结构及回流关系可由正文恢复,source_or_template
2024,12,11,不同检测策略下成品合格概率树,概率树,场景参数和概率乘法关系可由正文恢复,source_or_template
2024,13,12,全部基础策略期望利润排序图,排序条形图,可由六种情形参数和期望利润模型重新枚举,source_or_template
2024,14,13,六种情形最优检测与拆解策略热图,策略热力图,最优策略可由参数表与模型重新枚举,source_or_template
2024,15,13,六种情形最优策略成本收益构成图,成本收益构成图,可由最优策略和统一成本模型重算,source_or_template
2024,16,14,调换损失与拆解费用的策略分区等高线图,策略等高线图,可由利润模型在二维参数网格上精确重算,source_or_template
2024,17,14,检测成本与次品率的利润响应三维曲面图,三维响应曲面,可由利润模型和正文参数网格重算,source_or_template
2024,18,15,多工序装配网络结构图,装配网络图,8-3-1拓扑与节点关系可由正文恢复,source_or_template
2024,19,16,节点状态转移与拆解回流示意图,状态流图,100单位示例流量及回流逻辑可由正文恢复,source_or_template
2024,20,17,动态规划求解流程图,算法流程图,递推枚举和剪枝步骤可由正文恢复,source_or_template
2024,21,18,多级最优策略结构平行坐标图,平行坐标图,最优动作组合可由动态规划结果或正文描述恢复,source_or_template
2024,22,18,各层成本收益贡献旭日图,旭日图,正文给出售价总成本和利润；分层明细需模型输出,source_or_template
2024,23,19,不确定性传播与稳健决策流程图,稳健决策流程图,无需数值数据；反馈关系可由正文恢复,source_or_template
2024,24,20,次品率Beta后验分布波浪图,后验山脊图,样本率与Beta后验公式足以重算,source_or_template
2024,25,21,确定性与稳健策略利润对比图,利润对比图,可由点估计与稳健参数场景模型重算；正文给出部分关键值,source_or_template
2025,1,,总体建模与求解流程,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,2,,坐标系及问题一运动轨迹示意,三维几何,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,3,,问题一视线束距离—时间曲线,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,4,,问题二最优单弹的遮蔽判定曲线,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,5,,问题二方案对烟幕有效半径的敏感性,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,6,,问题三三枚烟幕弹有效遮蔽区间,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,7,,问题四三架无人机错峰遮蔽区间,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,8,,问题五无人机—导弹弹药分配网络,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,9,,问题五各烟幕弹的有效遮蔽区间,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,10,,问题五三枚导弹的有效遮蔽时长,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,11,,问题三三枚烟幕弹投放点与起爆点空间关系,三维几何,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,12,,问题四三架无人机协同投放的俯视空间分布,三维几何,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,13,,问题五各无人机的烟幕弹分配数量,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,14,,问题五三枚导弹累计有效遮蔽进程,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,15,,问题五各烟幕弹的起爆时刻与起爆高度,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,16,,问题二云团半径与下沉速度的双因素敏感性,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,17,,问题五起爆时刻与单弹有效遮蔽时长气泡图,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,18,,五个问题的总体有效遮蔽时长对比,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,19,,问题五十一枚烟幕弹的单弹贡献排序,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,20,,问题五三枚导弹遮蔽时长均衡性,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,21,,问题五十一枚烟幕弹的投放时序,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,22,,问题三三枚烟幕弹投放—起爆时间配对图,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,23,,问题四三架无人机的单弹贡献,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,24,,问题五十一枚烟幕弹关键参数平行坐标图,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
2025,25,,问题五无人机—导弹烟幕弹分配矩阵,热力矩阵,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,1,,四类资产月度收益率分布山脊图,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,2,,四类资产年化收益率与波动率对比,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,3,,资产间相关系数矩阵热力图,热力矩阵,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,4,,问题一静态多目标优化算法流程图,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,5,,问题一：三种优化目标资产配置对比,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,6,,均值-方差有效前沿,三维几何,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,7,,问题一：三种目标核心指标对比,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,8,,问题二风险偏好分层求解流程图,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,9,,问题二：三类风险偏好配置对比,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,10,,问题二：三类风险偏好五维雷达图,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,11,,问题二：月度累计收益路径,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,12,,三类风险偏好策略月度收益分布图,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,13,,问题三多市场场景自适应求解流程图,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,14,,问题三：多场景自适应动态配置方案,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,15,,问题三：静态vs动态策略各场景表现,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,16,,三类市场场景收益率与波动率修正系数热图,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,17,,问题四参数灵敏度分析流程图,流程网络,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,18,,交易费率灵敏度分析,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,19,,资产波动率灵敏度分析,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,20,,收益率预期灵敏度分析,优化敏感,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,21,,最小持仓约束灵敏度分析,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,22,,相关系数灵敏度分析,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
finance,23,,参数灵敏度龙卷风图,统计时序,DOCX为扁平图片；依据正文标注恢复或替换原始数据,template
APMCM,1,,芯片歧管式微通道结构示意,三维几何,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,2,,问题分析与求解流程,流程网络,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,3,,代理辅助多目标优化算法流程,流程网络,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,4a,,总体模型链条与代理优化,流程网络,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,4b,,总体模型链条与代理优化,流程网络,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,5,,传热-流动-指标机理,流程网络,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,6a,,响应切片与Pareto分布,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,6b,,响应切片与Pareto分布,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,6c,,响应切片与Pareto分布,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,7a,,代理模型验证,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,7b,,代理模型验证,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,7c,,代理模型验证,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,8a,,全局敏感性与响应切片,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,8b,,全局敏感性与响应切片,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,8c,,全局敏感性与响应切片,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,9a,,三目标Pareto前沿,三维几何,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,9b,,三目标Pareto前沿,三维几何,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,9c,,三目标Pareto前沿,三维几何,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,9d,,三目标Pareto前沿,三维几何,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,10a,,搜索效率与TOPSIS候选,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,10b,,搜索效率与TOPSIS候选,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,10c,,搜索效率与TOPSIS候选,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,10d,,搜索效率与TOPSIS候选,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,11a,,权重偏好与稳健推荐,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,11b,,权重偏好与稳健推荐,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,11c,,权重偏好与稳健推荐,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,11d,,权重偏好与稳健推荐,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,11e,,权重偏好与稳健推荐,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,12a,,不确定性与局部弹性,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,12b,,不确定性与局部弹性,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,12c,,不确定性与局部弹性,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
APMCM,12d,,不确定性与局部弹性,优化敏感,PDF矢量/位图；精确统计结果需论文候选集或附件,template
